NO_OF_FRAMES	143
NO_OF_CAMERAS	14
NO_OF_MARKERS	19
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2019-10-11, 16:13:24	102239.45178864
DATA_INCLUDED	3D
MARKER_NAMES	1 - Head	2 - L_Shoulder	3 - L_Elbow	4 - L_Wrist	5 - R_Shoulder	6 - R_Elbow	7 - R_Wrist	8 - L_Hip	9 - L_Knee	10 - L_Ankle	11 - L_Heel	12 - L_Meta_V	13 - L_Toe_II	14 - R_Hip	15 - R_Knee	16 - R_Ankle	17 - R_Heel	18 - R_Meta_V	19 - R_Toe_II
Frame	Time	1 - Head X	1 - Head Y	1 - Head Z	2 - L_Shoulder X	2 - L_Shoulder Y	2 - L_Shoulder Z	3 - L_Elbow X	3 - L_Elbow Y	3 - L_Elbow Z	4 - L_Wrist X	4 - L_Wrist Y	4 - L_Wrist Z	5 - R_Shoulder X	5 - R_Shoulder Y	5 - R_Shoulder Z	6 - R_Elbow X	6 - R_Elbow Y	6 - R_Elbow Z	7 - R_Wrist X	7 - R_Wrist Y	7 - R_Wrist Z	8 - L_Hip X	8 - L_Hip Y	8 - L_Hip Z	9 - L_Knee X	9 - L_Knee Y	9 - L_Knee Z	10 - L_Ankle X	10 - L_Ankle Y	10 - L_Ankle Z	11 - L_Heel X	11 - L_Heel Y	11 - L_Heel Z	12 - L_Meta_V X	12 - L_Meta_V Y	12 - L_Meta_V Z	13 - L_Toe_II X	13 - L_Toe_II Y	13 - L_Toe_II Z	14 - R_Hip X	14 - R_Hip Y	14 - R_Hip Z	15 - R_Knee X	15 - R_Knee Y	15 - R_Knee Z	16 - R_Ankle X	16 - R_Ankle Y	16 - R_Ankle Z	17 - R_Heel X	17 - R_Heel Y	17 - R_Heel Z	18 - R_Meta_V X	18 - R_Meta_V Y	18 - R_Meta_V Z	19 - R_Toe_II X	19 - R_Toe_II Y	19 - R_Toe_II Z	
268	2.67000	-148.554	272.833	1686.319	-148.692	483.932	1408.808	-108.765	601.535	1066.165	-0.009	576.219	834.615	-208.664	128.840	1377.274	-230.013	43.746	1034.142	-172.728	58.085	775.058	-162.422	499.695	877.909	-236.132	441.162	476.500	-344.055	402.338	75.206	-401.516	351.923	38.493	-244.859	430.195	27.955	-142.908	360.201	32.974	-176.211	145.625	895.829	-3.963	158.731	506.465	43.077	192.666	79.869	18.400	256.323	34.219	147.382	149.660	63.335	247.689	179.231	100.953
269	2.68000	-138.393	271.167	1684.250	-138.838	482.602	1406.981	-98.649	600.179	1064.788	11.261	574.640	833.722	-198.842	127.510	1375.152	-219.969	43.257	1031.495	-162.417	58.067	772.795	-153.342	499.231	876.275	-231.019	440.845	475.921	-343.583	402.331	75.361	-401.017	351.815	38.347	-244.847	430.121	28.009	-142.842	360.240	33.378	-166.236	144.996	893.865	5.011	159.500	503.810	72.345	188.909	80.188	48.857	251.449	32.567	176.734	147.371	68.827	276.306	179.667	109.335
270	2.69000	-128.504	269.511	1682.662	-129.352	481.199	1405.317	-88.607	598.953	1063.094	21.912	572.979	833.134	-188.601	126.080	1372.696	-209.456	42.589	1028.543	-151.666	57.477	770.734	-144.604	498.499	874.541	-225.422	440.308	474.866	-343.672	402.373	75.908	-401.494	351.808	39.630	-244.902	430.239	27.990	-142.754	360.118	32.965	-155.189	144.542	891.214	13.903	160.531	501.797	99.338	185.127	81.038	77.050	246.955	31.672	206.007	145.425	75.557	302.060	180.300	119.584
271	2.70000	-118.546	267.708	1680.668	-119.705	479.720	1403.372	-78.884	597.640	1061.792	33.203	571.210	831.235	-178.280	124.603	1370.237	-198.656	42.057	1025.775	-141.155	57.374	768.069	-134.951	497.627	872.708	-219.857	439.646	473.534	-343.061	402.261	76.427	-401.163	351.868	40.105	-244.902	430.218	28.097	-142.647	359.946	33.118	-145.510	144.028	888.864	23.630	161.595	499.848	123.721	181.288	82.680	102.082	241.333	32.133	231.772	143.366	81.338	325.040	180.887	129.493
272	2.71000	-108.510	265.603	1678.456	-110.035	478.402	1401.457	-68.515	595.986	1059.322	43.259	569.142	829.912	-167.877	123.166	1367.742	-187.991	41.211	1022.831	-130.410	56.844	765.552	-126.387	496.831	871.070	-214.636	439.531	473.046	-342.558	402.284	77.032	-401.221	351.920	41.013	-244.891	430.093	28.051	-142.883	359.931	33.084	-134.296	143.185	886.545	34.126	161.571	498.182	145.357	178.124	84.063	125.091	238.103	32.266	254.492	141.033	86.801	344.813	180.457	136.493
273	2.72000	-98.262	263.782	1676.181	-100.448	476.919	1399.551	-59.179	594.417	1057.602	53.945	567.105	828.512	-157.441	121.500	1365.303	-177.141	40.219	1019.974	-119.364	56.584	762.609	-117.401	496.083	869.135	-208.698	438.896	471.799	-342.096	402.288	77.811	-401.078	352.326	42.370	-244.903	430.045	28.103	-143.087	359.659	32.528	-122.615	142.001	883.668	44.932	161.411	497.426	164.598	176.263	84.832	144.755	235.031	32.387	272.777	139.317	90.852	361.844	179.349	141.351
274	2.73000	-88.192	261.770	1674.192	-90.883	475.202	1397.702	-49.762	592.742	1055.521	64.712	564.834	826.324	-146.912	119.889	1362.773	-166.256	39.011	1017.292	-108.311	55.885	759.553	-108.551	495.718	866.957	-202.386	438.583	470.994	-341.514	402.392	78.779	-401.336	352.480	44.059	-244.854	429.899	28.048	-143.349	359.545	33.194	-112.392	140.814	881.833	56.370	161.304	496.203	180.098	175.113	86.701	160.559	233.630	30.566	289.465	139.474	93.080	377.315	178.526	144.001
275	2.74000	-78.264	259.591	1672.412	-81.265	473.741	1395.845	-40.217	590.654	1053.247	74.163	562.938	825.096	-136.303	118.006	1360.469	-154.925	37.772	1014.849	-97.436	55.188	757.331	-99.628	494.772	865.328	-195.172	437.768	470.272	-340.873	402.379	80.065	-401.013	353.024	46.149	-244.820	429.731	28.030	-143.563	358.991	32.608	-101.097	139.513	879.756	68.604	160.632	495.267	192.812	174.837	84.864	174.091	234.298	30.160	302.186	139.594	91.234	389.040	178.715	144.430
276	2.75000	-68.029	257.432	1670.274	-71.265	471.921	1393.882	-30.924	588.503	1050.895	83.728	560.572	822.910	-125.773	116.259	1358.159	-143.694	35.915	1012.880	-86.198	54.211	754.543	-89.806	493.776	863.009	-187.996	437.067	469.505	-340.295	402.794	81.323	-400.967	353.603	48.434	-244.853	429.656	28.020	-143.741	359.050	32.665	-89.165	138.109	878.059	81.595	159.868	494.394	201.430	175.878	82.285	182.966	235.377	28.579	310.427	139.544	87.577	399.136	179.127	140.835
277	2.76000	-57.901	255.061	1668.680	-61.731	470.321	1392.017	-22.387	586.435	1049.307	93.427	558.190	820.799	-115.155	114.450	1355.923	-131.932	34.663	1010.649	-74.609	52.892	752.752	-80.599	492.288	861.042	-181.068	436.596	468.408	-339.244	403.102	83.051	-400.827	354.245	51.747	-245.008	429.600	28.049	-143.295	358.906	32.837	-77.740	136.820	876.967	94.832	159.304	492.873	209.065	176.391	78.793	188.911	236.201	25.621	317.291	140.521	83.337	406.037	180.375	135.208
