NO_OF_SAMPLES	143
FREQUENCY	100
TIME_STAMP	2019-10-11, 16:13:24	102239.45178864
FIRST_SAMPLE	268
DESCRIPTION	Force data in local (force plate) coordinates
DATA_INCLUDED	Force
FORCE_PLATE_TYPE	Amti
FORCE_PLATE_MODEL	Unknown
FORCE_PLATE_NAME	Force-plate 2
FORCE_PLATE_CORNER_POSX_POSY_X	519.708008
FORCE_PLATE_CORNER_POSX_POSY_Y	471.890015
FORCE_PLATE_CORNER_POSX_POSY_Z	0.000000
FORCE_PLATE_CORNER_NEGX_POSY_X	517.812012
FORCE_PLATE_CORNER_NEGX_POSY_Y	14.711200
FORCE_PLATE_CORNER_NEGX_POSY_Z	0.000000
FORCE_PLATE_CORNER_NEGX_NEGY_X	13.237100
FORCE_PLATE_CORNER_NEGX_NEGY_Y	18.357599
FORCE_PLATE_CORNER_NEGX_NEGY_Z	0.000000
FORCE_PLATE_CORNER_POSX_NEGY_X	16.436701
FORCE_PLATE_CORNER_POSX_NEGY_Y	475.112000
FORCE_PLATE_CORNER_POSX_NEGY_Z	0.000000
FORCE_PLATE_LENGTH	508.000000
FORCE_PLATE_WIDTH	463.550000
Sample	Time	Force_X	Force_Y	Force_Z	Moment_X	Moment_Y	Moment_Z	COP_X	COP_Y	COP_Z
268	2.67000	0.821502	-0.130630	2.376884	0.357355	0.496737	0.179463	0.000000	0.000000	0.000000	
269	2.68000	0.752452	-0.107706	2.107900	0.366320	0.533402	0.161190	0.000000	0.000000	0.000000	
270	2.69000	0.821143	-0.107896	2.108817	0.357146	0.533153	0.188610	0.000000	0.000000	0.000000	
271	2.70000	0.752974	-0.085320	2.376965	0.320949	0.541934	0.174973	0.000000	0.000000	0.000000	
272	2.71000	0.753953	-0.108232	2.823326	0.366693	0.496705	0.161244	0.000000	0.000000	0.000000	
273	2.72000	0.843940	-0.153303	2.109011	0.357137	0.514986	0.188589	0.000000	0.000000	0.000000	
274	2.73000	0.798942	-0.107950	2.555403	0.357526	0.478478	0.174931	0.000000	0.000000	0.000000	
275	2.74000	0.821674	-0.176237	2.466888	0.330035	0.505610	0.179478	0.000000	0.000000	0.000000	
276	2.75000	0.661383	-0.130755	2.107899	0.348113	0.533139	0.161412	0.000000	0.000000	0.000000	
277	2.76000	0.753584	-0.176512	2.466337	0.357318	0.496595	0.179645	0.000000	0.000000	0.000000	
278	2.77000	0.913762	-0.130867	2.914097	0.348449	0.496540	0.183867	0.000000	0.000000	0.000000	
279	2.78000	1.764201	-2.463280	14.387510	-0.224618	0.843143	0.252005	-63.955200	-9.096628	0.000000	
