NO_OF_FRAMES	442
NO_OF_CAMERAS	14
NO_OF_MARKERS	19
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2019-10-11, 16:14:55	102329.79542777
DATA_INCLUDED	3D
MARKER_NAMES	1 - Head	2 - L_Shoulder	3 - L_Elbow	4 - L_Wrist	5 - R_Shoulder	6 - R_Elbow	7 - R_Wrist	8 - L_Hip	9 - L_Knee	10 - L_Ankle	11 - L_Heel	12 - L_Meta_V	13 - L_Toe_II	14 - R_Hip	15 - R_Knee	16 - R_Ankle	17 - R_Heel	18 - R_Meta_V	19 - R_Toe_II
Frame	Time	1 - Head X	1 - Head Y	1 - Head Z	2 - L_Shoulder X	2 - L_Shoulder Y	2 - L_Shoulder Z	3 - L_Elbow X	3 - L_Elbow Y	3 - L_Elbow Z	4 - L_Wrist X	4 - L_Wrist Y	4 - L_Wrist Z	5 - R_Shoulder X	5 - R_Shoulder Y	5 - R_Shoulder Z	6 - R_Elbow X	6 - R_Elbow Y	6 - R_Elbow Z	7 - R_Wrist X	7 - R_Wrist Y	7 - R_Wrist Z	8 - L_Hip X	8 - L_Hip Y	8 - L_Hip Z	9 - L_Knee X	9 - L_Knee Y	9 - L_Knee Z	10 - L_Ankle X	10 - L_Ankle Y	10 - L_Ankle Z	11 - L_Heel X	11 - L_Heel Y	11 - L_Heel Z	12 - L_Meta_V X	12 - L_Meta_V Y	12 - L_Meta_V Z	13 - L_Toe_II X	13 - L_Toe_II Y	13 - L_Toe_II Z	14 - R_Hip X	14 - R_Hip Y	14 - R_Hip Z	15 - R_Knee X	15 - R_Knee Y	15 - R_Knee Z	16 - R_Ankle X	16 - R_Ankle Y	16 - R_Ankle Z	17 - R_Heel X	17 - R_Heel Y	17 - R_Heel Z	18 - R_Meta_V X	18 - R_Meta_V Y	18 - R_Meta_V Z	19 - R_Toe_II X	19 - R_Toe_II Y	19 - R_Toe_II Z	
1	0.00000	330.656	195.304	1678.604	190.035	426.263	1423.049	162.434	533.390	1079.151	240.409	555.077	828.226	172.487	69.301	1399.888	144.927	-15.483	1059.289	229.065	-43.449	803.128	229.358	431.608	892.395	193.007	412.125	486.620	184.318	425.479	75.028	138.805	372.297	33.653	285.072	467.478	25.676	391.193	407.232	30.258	225.972	76.514	911.234	207.412	91.952	492.657	167.972	97.869	69.336	128.931	152.914	32.762	271.782	53.728	30.601	383.255	105.710	30.617
2	0.01000	331.184	195.365	1678.409	190.165	426.317	1423.042	162.412	533.376	1079.320	240.373	555.115	828.224	172.578	69.259	1399.998	145.474	-15.233	1059.198	229.181	-43.153	802.915	229.375	431.720	892.454	193.244	412.060	486.629	184.317	425.447	74.996	138.809	372.274	33.713	285.034	467.540	25.645	391.821	407.611	31.425	226.002	76.524	911.251	207.565	91.985	492.635	168.279	97.776	69.784	128.101	153.052	33.530	271.823	53.507	30.770	383.462	106.277	30.366
3	0.02000	331.639	195.569	1678.296	190.288	426.372	1423.046	162.479	533.413	1079.279	240.422	555.104	828.334	172.668	69.287	1400.003	145.541	-15.239	1059.156	229.158	-42.936	802.923	229.381	431.787	892.442	193.149	412.121	486.541	184.321	425.401	74.987	138.773	372.361	33.678	284.993	467.480	25.698	391.659	407.601	31.568	226.169	76.495	911.211	207.577	92.022	492.671	168.191	97.690	70.004	128.047	153.014	33.557	271.828	53.502	30.840	383.228	105.584	30.660
4	0.03000	332.196	195.778	1678.117	190.313	426.361	1423.143	162.536	533.471	1079.263	240.739	555.273	828.362	172.728	69.351	1400.040	145.688	-15.146	1059.247	229.496	-42.299	803.195	229.373	431.765	892.444	193.231	411.946	486.691	184.679	425.335	74.997	138.817	372.407	33.726	285.117	467.598	25.666	390.824	407.493	30.943	226.121	76.544	911.155	207.147	92.362	492.600	168.456	97.872	69.873	128.611	153.243	33.515	271.675	53.651	30.675	383.793	105.792	30.287
5	0.04000	332.748	196.106	1678.014	190.511	426.336	1423.172	162.588	533.549	1079.324	240.759	555.339	828.428	172.799	69.317	1400.022	145.816	-15.127	1059.448	229.686	-42.079	803.251	229.307	431.863	892.426	193.179	411.984	486.651	184.644	425.378	74.978	138.917	372.466	33.623	285.175	467.543	25.551	391.697	407.026	31.309	226.136	76.593	911.166	207.291	92.339	492.556	168.705	98.042	69.597	128.309	153.154	33.618	271.635	53.685	30.708	383.552	105.541	30.055
6	0.05000	333.182	196.393	1677.795	190.588	426.323	1423.051	162.922	533.623	1079.322	240.746	555.357	828.229	172.781	69.345	1399.957	145.872	-15.050	1059.459	229.858	-41.724	803.195	229.183	431.824	892.247	193.258	411.943	486.699	185.263	425.244	75.339	138.811	372.361	33.932	285.230	467.495	25.695	391.450	407.208	31.449	226.203	76.723	911.296	207.191	92.543	492.627	168.349	97.901	69.814	128.610	153.193	33.538	271.825	53.713	30.686	384.022	105.748	30.315
7	0.06000	333.809	196.810	1677.603	190.729	426.332	1423.100	162.922	533.555	1079.306	240.907	555.428	828.300	172.862	69.301	1399.969	145.884	-15.053	1059.483	230.110	-41.415	803.166	229.272	431.877	892.247	193.309	412.018	486.699	184.672	425.328	75.085	138.778	372.341	33.847	285.308	467.477	25.714	391.804	406.863	31.547	226.188	76.614	911.178	207.195	92.468	492.555	168.546	98.016	69.623	128.107	153.262	33.782	271.710	53.692	30.527	383.882	105.738	30.215
8	0.07000	334.364	197.281	1677.460	190.840	426.318	1423.141	163.049	533.569	1079.294	241.065	555.411	828.417	172.860	69.303	1400.008	146.446	-14.757	1059.223	230.123	-41.206	803.197	229.375	431.936	892.285	193.211	411.941	486.668	184.738	425.322	75.063	138.806	372.392	33.835	285.239	467.480	25.759	391.405	407.134	31.425	226.218	76.666	911.156	207.251	92.455	492.591	168.373	97.845	69.930	128.183	153.080	33.807	271.819	53.703	30.641	383.794	105.671	30.185
9	0.08000	334.994	197.805	1677.273	190.920	426.285	1423.185	163.222	533.650	1079.364	241.175	555.509	828.390	172.953	69.191	1399.911	146.328	-14.722	1059.283	230.396	-40.887	803.107	229.420	431.969	892.329	193.285	412.016	486.756	184.791	425.324	74.969	138.801	372.326	33.806	285.221	467.541	25.797	391.449	407.055	31.372	226.248	76.699	911.137	207.338	92.517	492.587	168.882	98.225	69.338	128.320	153.203	33.643	271.794	53.689	30.730	383.753	105.715	30.055
10	0.09000	335.388	198.424	1677.044	190.921	426.240	1423.161	163.373	533.655	1079.473	241.324	555.522	828.516	173.023	69.133	1399.889	146.639	-14.674	1059.218	230.437	-40.652	803.138	229.480	432.090	892.348	193.322	412.062	486.734	184.724	425.339	75.030	138.823	372.345	33.828	285.211	467.406	25.688	391.431	407.033	31.459	226.268	76.765	911.115	207.240	92.572	492.619	168.706	98.167	69.333	128.350	153.266	33.552	271.733	53.722	30.643	383.778	105.764	30.409
