NO_OF_SAMPLES	442
FREQUENCY	100
TIME_STAMP	2019-10-11, 16:14:55	102329.79542777
FIRST_SAMPLE	1
DESCRIPTION	Force data in local (force plate) coordinates
DATA_INCLUDED	Force
FORCE_PLATE_TYPE	Amti
FORCE_PLATE_MODEL	Unknown
FORCE_PLATE_NAME	Force-plate 1
FORCE_PLATE_CORNER_POSX_POSY_X	-89.748001
FORCE_PLATE_CORNER_POSX_POSY_Y	574.848022
FORCE_PLATE_CORNER_POSX_POSY_Z	0.000000
FORCE_PLATE_CORNER_NEGX_POSY_X	-93.639297
FORCE_PLATE_CORNER_NEGX_POSY_Y	115.820999
FORCE_PLATE_CORNER_NEGX_POSY_Z	0.000000
FORCE_PLATE_CORNER_NEGX_NEGY_X	-595.119995
FORCE_PLATE_CORNER_NEGX_NEGY_Y	120.332001
FORCE_PLATE_CORNER_NEGX_NEGY_Z	0.000000
FORCE_PLATE_CORNER_POSX_NEGY_X	-592.184021
FORCE_PLATE_CORNER_POSX_NEGY_Y	578.882996
FORCE_PLATE_CORNER_POSX_NEGY_Z	0.000000
FORCE_PLATE_LENGTH	508.000000
FORCE_PLATE_WIDTH	463.550000
Sample	Time	Force_X	Force_Y	Force_Z	Moment_X	Moment_Y	Moment_Z	COP_X	COP_Y	COP_Z
1	0.00000	-0.058131	-0.075896	1.368023	0.339704	0.115601	-0.026147	0.000000	0.000000	0.000000	
2	0.01000	0.056024	-0.007859	1.724472	0.276826	0.097105	-0.035314	0.000000	0.000000	0.000000	
3	0.02000	0.146955	0.060819	1.724440	0.277020	0.079112	-0.035363	0.000000	0.000000	0.000000	
4	0.03000	-0.034860	0.037387	1.725049	0.267618	0.105907	-0.021389	0.000000	0.000000	0.000000	
5	0.04000	-0.012088	-0.030619	1.989856	0.295009	0.106168	-0.035310	0.000000	0.000000	0.000000	
6	0.05000	-0.034876	-0.008187	1.636281	0.276431	0.115044	-0.016853	0.000000	0.000000	0.000000	
7	0.06000	0.078889	-0.053251	1.990456	0.294873	0.115351	-0.035460	0.000000	0.000000	0.000000	
8	0.07000	0.078320	-0.007175	1.546068	0.330978	0.106645	-0.035445	0.000000	0.000000	0.000000	
9	0.08000	-0.057898	-0.031003	1.370126	0.276385	0.115086	-0.025994	0.000000	0.000000	0.000000	
10	0.09000	0.055435	-0.052770	1.368562	0.339813	0.115776	-0.035461	0.000000	0.000000	0.000000	
11	0.10000	0.033189	-0.052784	2.077590	0.340274	0.115644	-0.040083	0.000000	0.000000	0.000000	
12	0.11000	0.055778	-0.007786	1.725198	0.276876	0.115241	-0.049107	0.000000	0.000000	0.000000	
13	0.12000	0.055638	0.060827	1.457119	0.286284	0.061036	-0.048979	0.000000	0.000000	0.000000	
14	0.13000	0.032784	-0.007101	1.633872	0.340291	0.097614	-0.044576	0.000000	0.000000	0.000000	
15	0.14000	-0.012205	-0.053537	1.633775	0.277196	0.060876	-0.048966	0.000000	0.000000	0.000000	
16	0.15000	0.100784	0.107099	1.457501	0.340201	0.097678	-0.035392	0.000000	0.000000	0.000000	
17	0.16000	0.079090	-0.007431	1.898920	0.313285	0.052110	-0.021601	0.000000	0.000000	0.000000	
18	0.17000	0.078830	-0.007870	1.991481	0.267897	0.115146	-0.044554	0.000000	0.000000	0.000000	
19	0.18000	-0.011994	-0.053050	1.988458	0.339941	0.106473	-0.012467	0.000000	0.000000	0.000000	
20	0.19000	0.056233	-0.167435	1.722548	0.285918	0.079149	-0.044598	0.000000	0.000000	0.000000	
21	0.20000	0.124909	-0.099190	2.079085	0.267627	0.097063	-0.021716	0.000000	0.000000	0.000000	
22	0.21000	0.033236	-0.076126	1.636251	0.312262	0.142583	-0.012509	0.000000	0.000000	0.000000	
23	0.22000	0.079699	-0.213365	2.522077	0.258918	0.106002	-0.044716	0.000000	0.000000	0.000000	
24	0.23000	0.055653	0.037818	1.370674	0.285490	0.115295	-0.026114	0.000000	0.000000	0.000000	
25	0.24000	0.033413	-0.075879	1.454144	0.322154	0.034111	-0.021542	0.000000	0.000000	0.000000	
26	0.25000	0.034579	-0.076849	2.522770	0.258446	0.105765	0.005922	0.000000	0.000000	0.000000	
27	0.26000	0.056064	-0.076339	1.723950	0.267929	0.088041	-0.049101	0.000000	0.000000	0.000000	
28	0.27000	0.147124	0.060687	2.081681	0.276556	0.142367	-0.021712	0.000000	0.000000	0.000000	
29	0.28000	0.101527	-0.030077	1.633063	0.322147	0.061325	-0.026242	0.000000	0.000000	0.000000	
30	0.29000	-0.011821	-0.076222	2.522562	0.295158	0.133270	-0.044605	0.000000	0.000000	0.000000	
31	0.30000	0.056631	-0.076709	2.079848	0.249571	0.105880	-0.026176	0.000000	0.000000	0.000000	
32	0.31000	0.056907	0.037763	2.610536	0.286189	0.087912	-0.012420	0.000000	0.000000	0.000000	
33	0.32000	0.101788	-0.052753	1.987747	0.340160	0.079493	-0.017171	0.000000	0.000000	0.000000	
34	0.33000	0.124294	-0.052504	1.899421	0.358076	0.097782	-0.017252	0.000000	0.000000	0.000000	
35	0.34000	-0.012305	-0.007565	1.723297	0.321872	0.106382	-0.021555	0.000000	0.000000	0.000000	
36	0.35000	-0.012485	-0.030419	1.368619	0.321584	0.106433	-0.016950	0.000000	0.000000	0.000000	
37	0.36000	-0.011999	-0.053421	1.899954	0.295131	0.079040	-0.035282	0.000000	0.000000	0.000000	
38	0.37000	0.124608	-0.007645	1.989653	0.286011	0.079106	-0.026243	0.000000	0.000000	0.000000	
39	0.38000	-0.011288	-0.053387	2.607565	0.295791	0.042728	-0.035296	0.000000	0.000000	0.000000	
40	0.39000	0.056492	-0.053509	1.989917	0.285716	0.097100	-0.017031	0.000000	0.000000	0.000000	
41	0.40000	0.033651	-0.053491	1.632988	0.285998	0.042839	-0.021484	0.000000	0.000000	0.000000	
42	0.41000	0.056204	0.106181	1.901656	0.277031	0.078907	-0.021458	0.000000	0.000000	0.000000	
43	0.42000	-0.011962	-0.099151	1.901236	0.294674	0.115228	-0.026184	0.000000	0.000000	0.000000	
44	0.43000	0.033946	-0.030871	2.167512	0.276738	0.096949	-0.012393	0.000000	0.000000	0.000000	
45	0.44000	-0.011927	-0.052901	2.431610	0.340493	0.106463	-0.035452	0.000000	0.000000	0.000000	
46	0.45000	0.055888	-0.098694	1.366834	0.312993	0.061277	-0.035367	0.000000	0.000000	0.000000	
47	0.46000	0.056235	0.061036	2.433294	0.313460	0.106308	-0.035411	0.000000	0.000000	0.000000	
48	0.47000	0.032786	-0.007342	1.724555	0.321960	0.133655	-0.044598	0.000000	0.000000	0.000000	
49	0.48000	0.055794	-0.053014	1.367598	0.321852	0.079410	-0.026199	0.000000	0.000000	0.000000	
50	0.49000	0.055962	-0.099094	1.903110	0.276644	0.142389	-0.049223	0.000000	0.000000	0.000000	
51	0.50000	-0.034780	-0.007448	1.988245	0.340080	0.097378	-0.012392	0.000000	0.000000	0.000000	
52	0.51000	0.056010	0.060598	1.635985	0.285679	0.097122	-0.016919	0.000000	0.000000	0.000000	
53	0.52000	0.056870	-0.076344	2.254065	0.277238	0.051768	-0.026170	0.000000	0.000000	0.000000	
54	0.53000	0.056120	-0.053490	1.635723	0.285515	0.106218	-0.021601	0.000000	0.000000	0.000000	
55	0.54000	0.078955	-0.053381	1.900811	0.277110	0.079047	-0.044546	0.000000	0.000000	0.000000	
56	0.55000	-0.012196	-0.030840	1.457940	0.285482	0.097083	-0.016877	0.000000	0.000000	0.000000	
57	0.56000	0.056075	-0.030668	1.634948	0.276881	0.079027	-0.035298	0.000000	0.000000	0.000000	
58	0.57000	0.033679	-0.098763	2.254666	0.313218	0.097303	-0.035465	0.000000	0.000000	0.000000	
59	0.58000	-0.011638	-0.053601	1.988133	0.286075	0.060818	-0.021480	0.000000	0.000000	0.000000	
60	0.59000	-0.035076	0.060831	1.723220	0.321982	0.097269	-0.016875	0.000000	0.000000	0.000000	
61	0.60000	0.078597	-0.052960	1.722850	0.313162	0.088411	-0.044612	0.000000	0.000000	0.000000	
62	0.61000	0.124119	0.083731	1.457302	0.294973	0.061123	-0.021535	0.000000	0.000000	0.000000	
63	0.62000	0.033352	-0.098562	1.722070	0.339842	0.097554	-0.017113	0.000000	0.000000	0.000000	
64	0.63000	0.079155	-0.053522	2.078745	0.268023	0.087985	-0.039968	0.000000	0.000000	0.000000	
65	0.64000	0.079142	-0.076139	1.899684	0.286144	0.061002	-0.035377	0.000000	0.000000	0.000000	
66	0.65000	0.079293	-0.099195	2.078503	0.267898	0.087986	-0.035411	0.000000	0.000000	0.000000	
67	0.66000	0.215508	-0.007916	1.637785	0.258099	0.115224	-0.007973	0.000000	0.000000	0.000000	
68	0.67000	0.056098	-0.098933	1.723439	0.294808	0.097276	-0.035413	0.000000	0.000000	0.000000	
