NO_OF_SAMPLES	442
FREQUENCY	100
TIME_STAMP	2019-10-11, 16:14:55	102329.79542777
FIRST_SAMPLE	1
DESCRIPTION	Force data in local (force plate) coordinates
DATA_INCLUDED	Force
FORCE_PLATE_TYPE	Amti
FORCE_PLATE_MODEL	Unknown
FORCE_PLATE_NAME	Force-plate 2
FORCE_PLATE_CORNER_POSX_POSY_X	519.708008
FORCE_PLATE_CORNER_POSX_POSY_Y	471.890015
FORCE_PLATE_CORNER_POSX_POSY_Z	0.000000
FORCE_PLATE_CORNER_NEGX_POSY_X	517.812012
FORCE_PLATE_CORNER_NEGX_POSY_Y	14.711200
FORCE_PLATE_CORNER_NEGX_POSY_Z	0.000000
FORCE_PLATE_CORNER_NEGX_NEGY_X	13.237100
FORCE_PLATE_CORNER_NEGX_NEGY_Y	18.357599
FORCE_PLATE_CORNER_NEGX_NEGY_Z	0.000000
FORCE_PLATE_CORNER_POSX_NEGY_X	16.436701
FORCE_PLATE_CORNER_POSX_NEGY_Y	475.112000
FORCE_PLATE_CORNER_POSX_NEGY_Z	0.000000
FORCE_PLATE_LENGTH	508.000000
FORCE_PLATE_WIDTH	463.550000
Sample	Time	Force_X	Force_Y	Force_Z	Moment_X	Moment_Y	Moment_Z	COP_X	COP_Y	COP_Z
1	0.00000	0.296103	-0.008696	672.272705	-33.641828	-0.684139	0.112548	0.568175	-50.397018	0.000000	
2	0.01000	0.250029	0.332705	672.001288	-33.514166	-0.710602	0.121723	0.610710	-50.247645	0.000000	
3	0.02000	0.386041	0.379186	671.731387	-33.404964	-0.754839	0.103023	0.668857	-50.107900	0.000000	
4	0.03000	0.295184	0.720221	671.817341	-33.268104	-0.763112	0.098515	0.686459	-49.918190	0.000000	
5	0.04000	0.272189	0.788576	671.726958	-33.231606	-0.790156	0.098559	0.728243	-49.874609	0.000000	
6	0.05000	0.363626	0.947859	671.636406	-33.131437	-0.825976	0.125887	0.776269	-49.741661	0.000000	
7	0.06000	0.386580	1.016280	671.724596	-33.067542	-0.870989	0.121248	0.841751	-49.644144	0.000000	
8	0.07000	0.409396	1.038752	671.277439	-33.004309	-0.825120	0.148717	0.772903	-49.584122	0.000000	
9	0.08000	0.411113	0.947150	671.903582	-32.976731	-0.907192	0.158034	0.893827	-49.491730	0.000000	
10	0.09000	0.413749	0.809090	672.352299	-32.940671	-0.880316	0.204055	0.852812	-49.397064	0.000000	
11	0.10000	0.391770	0.694860	672.262797	-32.868393	-0.806921	0.194906	0.745118	-49.289259	0.000000	
