NO_OF_FRAMES	1561
NO_OF_CAMERAS	14
NO_OF_MARKERS	19
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2019-10-11, 16:28:43	103157.88783225
DATA_INCLUDED	3D
MARKER_NAMES	1 - Head	2 - L_Shoulder	3 - L_Elbow	4 - L_Wrist	5 - R_Shoulder	6 - R_Elbow	7 - R_Wrist	8 - L_Hip	9 - L_Knee	10 - L_Ankle	11 - L_Heel	12 - L_Meta_V	13 - L_Toe_II	14 - R_Hip	15 - R_Knee	16 - R_Ankle	17 - R_Heel	18 - R_Meta_V	19 - R_Toe_II
Frame	Time	1 - Head X	1 - Head Y	1 - Head Z	2 - L_Shoulder X	2 - L_Shoulder Y	2 - L_Shoulder Z	3 - L_Elbow X	3 - L_Elbow Y	3 - L_Elbow Z	4 - L_Wrist X	4 - L_Wrist Y	4 - L_Wrist Z	5 - R_Shoulder X	5 - R_Shoulder Y	5 - R_Shoulder Z	6 - R_Elbow X	6 - R_Elbow Y	6 - R_Elbow Z	7 - R_Wrist X	7 - R_Wrist Y	7 - R_Wrist Z	8 - L_Hip X	8 - L_Hip Y	8 - L_Hip Z	9 - L_Knee X	9 - L_Knee Y	9 - L_Knee Z	10 - L_Ankle X	10 - L_Ankle Y	10 - L_Ankle Z	11 - L_Heel X	11 - L_Heel Y	11 - L_Heel Z	12 - L_Meta_V X	12 - L_Meta_V Y	12 - L_Meta_V Z	13 - L_Toe_II X	13 - L_Toe_II Y	13 - L_Toe_II Z	14 - R_Hip X	14 - R_Hip Y	14 - R_Hip Z	15 - R_Knee X	15 - R_Knee Y	15 - R_Knee Z	16 - R_Ankle X	16 - R_Ankle Y	16 - R_Ankle Z	17 - R_Heel X	17 - R_Heel Y	17 - R_Heel Z	18 - R_Meta_V X	18 - R_Meta_V Y	18 - R_Meta_V Z	19 - R_Toe_II X	19 - R_Toe_II Y	19 - R_Toe_II Z	
632	6.31000	-28.712	-104.718	1336.088	158.003	129.800	1206.643	245.808	238.554	876.146	192.130	208.289	617.919	-178.410	161.403	1215.679	-261.841	241.373	885.756	-215.104	193.155	621.236	186.056	482.542	888.730	166.885	376.748	488.598	156.186	386.192	73.314	105.949	439.876	33.397	181.998	280.716	25.861	103.826	183.860	32.055	-174.626	500.773	908.964	-183.858	357.134	504.924	-186.236	413.314	79.442	-135.519	461.510	40.653	-213.923	307.802	35.129	-144.774	205.381	32.135
633	6.32000	-29.107	-105.153	1335.312	157.521	129.863	1206.059	244.978	238.860	875.635	191.141	208.583	617.132	-179.163	160.362	1214.901	-262.684	240.802	885.211	-215.511	192.924	619.785	184.707	483.061	888.504	166.304	376.121	488.523	156.038	386.234	73.455	105.961	439.862	33.369	181.772	280.726	25.913	103.600	183.908	32.189	-176.142	500.270	908.577	-183.253	359.613	503.245	-185.586	412.123	77.820	-134.907	460.121	40.010	-214.003	306.129	34.410	-144.839	203.222	31.564
634	6.33000	-29.180	-105.464	1334.359	156.875	129.719	1205.366	244.246	239.068	875.033	190.262	208.802	616.445	-180.098	159.294	1213.944	-263.552	240.269	884.254	-216.503	193.409	617.899	183.304	483.523	888.276	165.650	375.454	488.582	155.863	386.231	73.459	105.877	439.896	33.400	181.794	280.792	25.920	103.534	183.856	32.032	-177.626	499.861	908.030	-183.347	361.118	501.724	-185.043	411.472	76.201	-135.218	459.803	38.890	-213.738	304.612	34.177	-144.242	201.512	30.561
635	6.34000	-29.794	-105.884	1333.447	155.552	129.764	1204.302	243.047	239.541	874.170	189.031	209.049	615.531	-181.099	158.129	1212.935	-264.724	239.556	883.962	-217.708	193.120	616.199	181.988	484.108	888.046	164.721	374.665	488.584	155.631	386.254	73.542	105.958	439.874	33.380	181.655	280.690	26.044	103.631	183.894	31.935	-179.227	499.733	907.333	-185.339	361.253	501.139	-184.773	412.093	75.160	-135.095	459.919	38.032	-213.949	304.301	33.872	-144.757	202.218	31.104
636	6.35000	-30.444	-106.265	1332.467	154.588	129.738	1203.336	241.816	239.980	873.209	187.815	209.436	614.235	-182.173	156.984	1211.646	-265.852	238.758	882.803	-218.486	193.343	615.701	180.485	484.361	887.543	163.916	373.381	488.752	155.442	386.436	73.770	105.926	439.902	33.360	181.437	280.756	26.118	103.288	183.900	31.888	-180.683	499.455	906.484	-184.857	361.920	499.346	-184.947	413.345	74.008	-134.772	460.645	36.289	-214.430	305.416	33.834	-144.261	203.480	31.739
637	6.36000	-30.933	-106.753	1331.364	153.649	129.376	1202.277	240.693	240.198	871.993	186.831	210.095	613.482	-183.401	155.752	1210.426	-267.144	237.985	881.609	-219.406	193.437	615.067	179.029	484.647	887.048	163.074	372.220	488.988	155.185	386.582	73.971	105.855	439.911	33.454	181.288	280.759	26.220	103.283	183.915	32.084	-182.088	499.437	905.574	-185.058	362.174	498.265	-185.486	414.277	72.803	-136.298	461.214	34.271	-215.244	306.326	33.808	-144.104	203.953	31.758
638	6.37000	-31.592	-107.172	1330.358	152.148	129.118	1200.827	239.450	240.524	870.879	185.972	210.068	612.550	-184.801	154.362	1208.909	-268.269	237.297	879.836	-221.045	193.596	613.642	177.446	484.999	886.341	161.910	370.761	488.753	154.870	386.618	74.068	105.859	439.961	33.513	181.190	280.706	26.286	102.909	183.794	31.696	-183.605	499.729	904.477	-185.828	362.583	497.457	-185.957	414.174	70.960	-137.705	462.701	32.201	-216.125	306.568	33.726	-143.886	203.978	31.807
639	6.38000	-32.556	-107.735	1329.034	150.741	128.890	1198.913	238.348	240.808	869.680	185.057	210.011	611.230	-186.229	153.235	1207.125	-269.792	236.807	878.269	-221.544	193.000	611.636	175.855	485.371	885.731	160.792	369.261	488.506	154.826	386.569	74.160	106.001	439.975	33.628	180.800	280.680	26.340	102.516	183.873	31.662	-185.338	499.846	903.438	-187.161	362.960	497.044	-186.370	413.855	71.424	-138.331	462.768	32.399	-216.874	306.136	33.573	-144.372	203.529	32.015
640	6.39000	-33.632	-108.282	1327.714	149.505	128.421	1197.004	236.938	241.062	868.089	184.107	210.508	609.303	-187.657	151.998	1205.057	-271.314	235.944	876.216	-223.123	193.358	610.184	174.594	485.708	885.062	159.267	367.462	488.197	154.753	386.812	74.498	106.157	440.117	33.722	180.345	280.536	26.484	102.277	184.267	31.636	-186.949	500.015	902.683	-188.557	362.372	497.180	-186.635	413.783	71.816	-138.363	461.826	33.006	-217.376	305.606	33.448	-144.340	203.275	31.640
641	6.40000	-34.367	-108.735	1326.052	147.880	127.802	1195.357	235.554	241.328	866.423	183.748	211.372	607.589	-189.149	150.747	1202.824	-272.892	235.333	873.852	-224.754	193.161	607.683	173.193	486.387	884.137	158.384	366.227	488.378	154.775	386.763	74.908	106.404	440.335	33.772	179.709	280.434	26.699	101.640	184.288	31.489	-188.393	500.557	902.311	-190.011	361.359	497.531	-186.808	413.546	71.599	-138.213	461.363	32.866	-217.597	305.557	33.418	-144.439	202.679	31.371
