NO_OF_SAMPLES	1561
FREQUENCY	100
TIME_STAMP	2019-10-11, 16:28:43	103157.88783225
FIRST_SAMPLE	632
DESCRIPTION	Force data in local (force plate) coordinates
DATA_INCLUDED	Force
FORCE_PLATE_TYPE	Amti
FORCE_PLATE_MODEL	Unknown
FORCE_PLATE_NAME	Force-plate 1
FORCE_PLATE_CORNER_POSX_POSY_X	-89.748001
FORCE_PLATE_CORNER_POSX_POSY_Y	574.848022
FORCE_PLATE_CORNER_POSX_POSY_Z	0.000000
FORCE_PLATE_CORNER_NEGX_POSY_X	-93.639297
FORCE_PLATE_CORNER_NEGX_POSY_Y	115.820999
FORCE_PLATE_CORNER_NEGX_POSY_Z	0.000000
FORCE_PLATE_CORNER_NEGX_NEGY_X	-595.119995
FORCE_PLATE_CORNER_NEGX_NEGY_Y	120.332001
FORCE_PLATE_CORNER_NEGX_NEGY_Z	0.000000
FORCE_PLATE_CORNER_POSX_NEGY_X	-592.184021
FORCE_PLATE_CORNER_POSX_NEGY_Y	578.882996
FORCE_PLATE_CORNER_POSX_NEGY_Z	0.000000
FORCE_PLATE_LENGTH	508.000000
FORCE_PLATE_WIDTH	463.550000
Sample	Time	Force_X	Force_Y	Force_Z	Moment_X	Moment_Y	Moment_Z	COP_X	COP_Y	COP_Z
632	6.31000	0.610962	0.891905	58.707148	8.946885	3.613840	0.048272	-62.132141	151.222731	0.000000	
633	6.32000	-13.055492	-0.788909	74.959408	11.653716	5.480938	2.639797	-66.197400	155.335673	0.000000	
634	6.33000	-20.911339	-1.900796	91.920469	14.512728	6.898134	4.177923	-65.957422	158.164586	0.000000	
635	6.34000	-14.215772	-2.869606	109.932035	17.559136	6.932008	2.944732	-57.957568	160.228576	0.000000	
636	6.35000	-4.838098	-4.903291	137.433630	22.395534	6.160200	1.222199	-43.545731	163.845492	0.000000	
637	6.36000	-0.193579	-11.803410	190.592770	31.821331	4.264119	0.241060	-22.484083	168.916266	0.000000	
638	6.37000	-0.193988	-22.811745	260.602839	44.275520	1.414043	-0.109465	-5.548211	172.892918	0.000000	
639	6.38000	-5.109602	-26.721591	286.451830	48.817870	0.478526	0.770335	-1.098462	173.652538	0.000000	
640	6.39000	-13.640472	-27.998924	289.867003	49.385833	0.738306	2.421964	-0.788223	173.738370	0.000000	
641	6.40000	-18.351419	-31.546770	303.301508	51.806600	0.240323	3.462338	1.512651	174.474484	0.000000	
642	6.41000	-17.815203	-36.713729	329.745546	56.572061	-1.425240	3.375384	6.364130	175.525988	0.000000	
643	6.42000	-16.500045	-44.676669	370.682058	63.852390	-4.192884	3.010081	12.966731	176.592787	0.000000	
644	6.43000	-16.253284	-51.698237	404.655389	70.004035	-6.853002	2.869769	18.414318	177.626738	0.000000	
645	6.44000	-17.123444	-56.117055	430.006427	74.647338	-9.291224	2.947223	23.072104	178.337385	0.000000	
646	6.45000	-16.181116	-58.666937	450.073287	78.614361	-11.785630	2.768425	27.493807	179.405437	0.000000	
647	6.46000	-14.513705	-60.143467	469.619853	82.465762	-14.289022	2.507092	31.529589	180.243747	0.000000	
648	6.47000	-13.031290	-61.445816	485.039643	85.633594	-16.335719	2.178336	34.617912	181.136022	0.000000	
649	6.48000	-11.846357	-62.235860	495.363867	87.801126	-18.037048	1.829284	37.230592	181.789604	0.000000	
650	6.49000	-9.914460	-62.046437	503.142228	89.659717	-19.558541	1.434604	39.520701	182.649254	0.000000	
651	6.50000	-7.643522	-60.717621	511.119326	91.301743	-20.900546	0.999126	41.346685	182.896921	0.000000	
652	6.51000	-5.896774	-59.700572	511.966342	91.821524	-21.753259	0.616713	42.805022	183.527986	0.000000	
653	6.52000	-4.262838	-58.758767	511.509984	91.830694	-22.320443	0.280992	43.822453	183.635372	0.000000	
654	6.53000	-3.150776	-58.155454	513.430244	92.310313	-22.867060	0.040961	44.634653	183.832896	0.000000	
655	6.54000	-3.493869	-56.758448	515.100270	92.829061	-23.000142	0.142402	44.774860	184.132004	0.000000	
656	6.55000	-4.062959	-54.996028	518.184202	93.465822	-23.187531	0.354266	44.913711	184.123526	0.000000	
