NO_OF_SAMPLES	143
FREQUENCY	100
TIME_STAMP	2019-10-11, 16:13:24	102239.45178864
FIRST_SAMPLE	268
DESCRIPTION	Force data in local (force plate) coordinates
DATA_INCLUDED	Force
FORCE_PLATE_TYPE	Amti
FORCE_PLATE_MODEL	Unknown
FORCE_PLATE_NAME	Force-plate 1
FORCE_PLATE_CORNER_POSX_POSY_X	-89.748001
FORCE_PLATE_CORNER_POSX_POSY_Y	574.848022
FORCE_PLATE_CORNER_POSX_POSY_Z	0.000000
FORCE_PLATE_CORNER_NEGX_POSY_X	-93.639297
FORCE_PLATE_CORNER_NEGX_POSY_Y	115.820999
FORCE_PLATE_CORNER_NEGX_POSY_Z	0.000000
FORCE_PLATE_CORNER_NEGX_NEGY_X	-595.119995
FORCE_PLATE_CORNER_NEGX_NEGY_Y	120.332001
FORCE_PLATE_CORNER_NEGX_NEGY_Z	0.000000
FORCE_PLATE_CORNER_POSX_NEGY_X	-592.184021
FORCE_PLATE_CORNER_POSX_NEGY_Y	578.882996
FORCE_PLATE_CORNER_POSX_NEGY_Z	0.000000
FORCE_PLATE_LENGTH	508.000000
FORCE_PLATE_WIDTH	463.550000
Sample	Time	Force_X	Force_Y	Force_Z	Moment_X	Moment_Y	Moment_Z	COP_X	COP_Y	COP_Z
268	2.67000	42.187176	-34.605728	631.718392	65.527533	-20.240523	-5.738347	29.175712	105.395106	0.000000	
269	2.68000	43.268757	-36.218944	642.742784	69.595052	-20.687010	-6.056563	29.298987	110.008090	0.000000	
270	2.69000	44.372683	-38.105402	653.146563	73.724435	-21.060436	-6.356809	29.332953	114.686499	0.000000	
271	2.70000	45.206181	-40.747680	664.439377	77.671988	-21.372205	-6.670808	29.250093	118.830481	0.000000	
272	2.71000	46.086757	-43.961504	676.622843	81.527997	-21.575979	-6.994499	28.968969	122.572538	0.000000	
273	2.72000	46.720834	-48.207708	687.745144	84.992598	-21.837112	-7.276363	28.840264	125.869624	0.000000	
274	2.73000	47.084283	-53.416452	699.410505	88.165281	-21.883453	-7.585860	28.401851	128.599639	0.000000	
275	2.74000	47.222705	-59.341133	708.878909	90.674004	-21.826192	-7.889647	27.931749	130.752937	0.000000	
276	2.75000	47.544212	-65.364499	716.068788	92.554660	-21.592333	-8.155870	27.304939	132.402467	0.000000	
277	2.76000	47.303206	-75.095970	718.743082	93.577333	-21.291575	-8.500020	26.797945	133.880512	0.000000	
278	2.77000	47.877413	-82.871381	716.406295	93.980314	-20.777530	-8.695688	26.135767	135.322337	0.000000	
279	2.78000	47.697349	-89.171610	709.841201	93.838965	-20.141917	-8.878890	25.493771	136.740408	0.000000	
280	2.79000	46.498850	-97.584402	699.035749	92.830932	-19.404805	-8.996079	24.905364	137.909489	0.000000	
281	2.80000	44.023416	-103.477230	681.533392	91.128747	-18.440188	-8.768593	24.281025	139.319062	0.000000	
282	2.81000	41.270604	-108.156836	652.041070	87.950286	-17.097213	-8.408024	23.497987	141.062697	0.000000	
283	2.82000	35.879368	-112.488599	616.908204	83.913901	-15.402345	-7.853887	22.452453	142.870286	0.000000	
284	2.83000	30.554662	-115.506487	577.730548	79.026270	-13.704742	-7.324466	21.421285	144.348752	0.000000	
285	2.84000	25.723366	-115.588081	531.416802	73.448308	-11.885158	-6.704659	20.246680	146.487495	0.000000	
286	2.85000	21.141449	-114.677367	480.358032	66.835798	-9.955313	-6.073056	18.784852	148.274712	0.000000	
287	2.86000	16.919238	-112.020171	420.914619	59.261219	-8.104236	-5.401301	17.468912	151.041716	0.000000	
288	2.87000	11.989005	-104.336877	356.660715	50.553030	-6.129127	-4.323382	15.667111	153.062355	0.000000	
289	2.88000	6.851762	-93.677652	285.887445	40.820674	-4.307571	-3.038421	13.941573	155.535338	0.000000	
290	2.89000	2.342822	-77.389346	211.791112	30.219896	-2.818675	-1.876418	12.707075	156.969213	0.000000	
291	2.90000	-0.496897	-55.249095	137.263639	19.967555	-1.714945	-0.960436	12.488426	161.257361	0.000000	
292	2.91000	-2.096297	-26.696123	74.774615	11.300546	-0.853893	-0.196796	12.405786	165.069576	0.000000	
293	2.92000	-0.360976	-7.389306	32.094212	5.267273	-0.418825	-0.028537	13.354266	172.911323	0.000000	
294	2.93000	1.818695	4.734384	17.871176	3.250288	-0.369083	-0.288619	16.366804	170.554877	0.000000	
295	2.94000	1.190550	1.560581	8.337025	1.391020	-0.273915	-0.138890	26.903020	158.687229	0.000000	
296	2.95000	0.964011	1.579850	7.725551	1.163220	-0.203666	-0.087699	21.142264	141.703483	0.000000	
297	2.96000	0.443618	-0.529388	3.487656	0.450422	0.026661	-0.105425	0.000000	0.000000	0.000000	
298	2.97000	0.217081	-0.484426	4.195856	0.450600	0.017085	-0.073017	0.000000	0.000000	0.000000	
299	2.98000	0.375031	-0.301797	3.134793	0.414296	0.017194	-0.095882	0.000000	0.000000	0.000000	
300	2.99000	0.329815	-0.302102	3.312952	0.405037	0.035095	-0.082077	0.000000	0.000000	0.000000	
301	3.00000	0.352457	-0.210408	3.310857	0.432656	-0.009935	-0.082034	0.000000	0.000000	0.000000	
302	3.01000	0.397996	-0.324627	3.223415	0.414181	0.017194	-0.086758	0.000000	0.000000	0.000000	
303	3.02000	0.352409	-0.256523	3.224392	0.387254	0.016920	-0.095776	0.000000	0.000000	0.000000	
304	3.03000	0.329909	-0.165039	3.044803	0.432155	-0.019084	-0.045222	0.000000	0.000000	0.000000	
305	3.04000	0.284037	-0.211321	3.047886	0.360145	0.016637	-0.100174	0.000000	0.000000	0.000000	
306	3.05000	0.329429	-0.302178	2.780985	0.395819	0.026070	-0.086589	0.000000	0.000000	0.000000	
307	3.06000	0.216091	-0.211146	3.311250	0.387690	-0.019495	-0.095521	0.000000	0.000000	0.000000	
308	3.07000	0.284120	-0.233634	3.313270	0.414136	0.044132	-0.081998	0.000000	0.000000	0.000000	
309	3.08000	0.215857	-0.211126	3.134337	0.387587	-0.010405	-0.100107	0.000000	0.000000	0.000000	
310	3.09000	0.283946	-0.097416	2.694025	0.359676	0.016575	-0.067938	0.000000	0.000000	0.000000	
311	3.10000	0.239111	-0.325854	3.048175	0.350383	0.034551	-0.068077	0.000000	0.000000	0.000000	
312	3.11000	0.283887	-0.051467	3.049180	0.386895	0.043869	-0.068026	0.000000	0.000000	0.000000	
313	3.12000	0.329594	-0.096966	2.869172	0.387189	-0.019374	-0.068017	0.000000	0.000000	0.000000	
314	3.13000	0.102449	-0.211671	2.868461	0.386801	-0.001592	-0.054052	0.000000	0.000000	0.000000	
315	3.14000	0.239117	-0.234701	3.137594	0.341442	0.034426	-0.063414	0.000000	0.000000	0.000000	
316	3.15000	0.192915	-0.097212	2.781270	0.395917	0.016709	-0.063305	0.000000	0.000000	0.000000	
317	3.16000	0.215859	-0.051630	3.136813	0.387044	0.025649	-0.063330	0.000000	0.000000	0.000000	
318	3.17000	0.238331	-0.234232	2.605429	0.377356	0.052921	-0.072639	0.000000	0.000000	0.000000	
319	3.18000	0.284285	-0.234436	2.603758	0.350586	-0.010591	-0.067972	0.000000	0.000000	0.000000	
320	3.19000	0.193012	-0.166155	2.873239	0.359180	0.079777	-0.063378	0.000000	0.000000	0.000000	
321	3.20000	0.147479	-0.167004	2.697338	0.278177	0.061082	-0.095245	0.000000	0.000000	0.000000	
322	3.21000	0.124506	-0.075071	2.873204	0.341668	0.061473	-0.086110	0.000000	0.000000	0.000000	
323	3.22000	0.147360	-0.166511	2.251996	0.340827	0.052496	-0.054012	0.000000	0.000000	0.000000	
324	3.23000	0.124854	-0.234569	2.426241	0.377327	0.016544	-0.054066	0.000000	0.000000	0.000000	
325	3.24000	0.125501	-0.166662	3.049336	0.341095	0.043239	-0.035683	0.000000	0.000000	0.000000	
326	3.25000	0.238637	-0.165831	2.782884	0.386232	0.052872	-0.045088	0.000000	0.000000	0.000000	
327	3.26000	0.124536	-0.097861	2.605265	0.341828	0.016274	-0.086041	0.000000	0.000000	0.000000	
328	3.27000	0.079377	-0.120799	2.515877	0.359381	0.016278	-0.049309	0.000000	0.000000	0.000000	
329	3.28000	0.215753	-0.120644	2.606294	0.341317	0.034445	-0.063256	0.000000	0.000000	0.000000	
330	3.29000	0.237987	-0.051991	2.518445	0.341595	0.043581	-0.086189	0.000000	0.000000	0.000000	
331	3.30000	0.148101	-0.166679	2.782098	0.323416	-0.002030	-0.053951	0.000000	0.000000	0.000000	
332	3.31000	0.238009	-0.028892	2.518843	0.386134	0.080034	-0.049595	0.000000	0.000000	0.000000	
333	3.32000	0.101883	-0.029283	2.516327	0.377478	0.025463	-0.044733	0.000000	0.000000	0.000000	
334	3.33000	0.147148	-0.052266	2.697436	0.350068	0.097736	-0.063228	0.000000	0.000000	0.000000	
335	3.34000	0.124851	-0.121020	2.606087	0.323373	0.025138	-0.067677	0.000000	0.000000	0.000000	
336	3.35000	0.215599	-0.120737	2.519565	0.340806	0.079684	-0.054131	0.000000	0.000000	0.000000	
337	3.36000	0.124581	-0.075090	2.517293	0.350422	0.034391	-0.063112	0.000000	0.000000	0.000000	
338	3.37000	0.124265	-0.006724	2.431321	0.349939	0.088659	-0.053952	0.000000	0.000000	0.000000	
339	3.38000	0.260767	-0.097672	2.519814	0.341129	0.079800	-0.077122	0.000000	0.000000	0.000000	
340	3.39000	0.329572	-0.074827	2.518514	0.349903	0.043652	-0.035862	0.000000	0.000000	0.000000	
