NO_OF_SAMPLES	442
FREQUENCY	100
TIME_STAMP	2019-10-11, 16:14:55	102329.79542777
FIRST_SAMPLE	1
DESCRIPTION	Force data in local (force plate) coordinates
DATA_INCLUDED	Force
FORCE_PLATE_TYPE	Amti
FORCE_PLATE_MODEL	Unknown
FORCE_PLATE_NAME	Force-plate 3
FORCE_PLATE_CORNER_POSX_POSY_X	1135.569946
FORCE_PLATE_CORNER_POSX_POSY_Y	564.732971
FORCE_PLATE_CORNER_POSX_POSY_Z	0.000000
FORCE_PLATE_CORNER_NEGX_POSY_X	1128.060059
FORCE_PLATE_CORNER_NEGX_POSY_Y	106.624001
FORCE_PLATE_CORNER_NEGX_POSY_Z	0.000000
FORCE_PLATE_CORNER_NEGX_NEGY_X	625.776978
FORCE_PLATE_CORNER_NEGX_NEGY_Y	113.992996
FORCE_PLATE_CORNER_NEGX_NEGY_Z	0.000000
FORCE_PLATE_CORNER_POSX_NEGY_X	633.607971
FORCE_PLATE_CORNER_POSX_NEGY_Y	574.497986
FORCE_PLATE_CORNER_POSX_NEGY_Z	0.000000
FORCE_PLATE_LENGTH	508.000000
FORCE_PLATE_WIDTH	463.550000
Sample	Time	Force_X	Force_Y	Force_Z	Moment_X	Moment_Y	Moment_Z	COP_X	COP_Y	COP_Z
1	0.00000	0.852005	1.086172	3.714817	0.493603	0.262040	0.155827	0.000000	0.000000	0.000000	
2	0.01000	0.968395	1.152004	4.239897	0.484247	0.325895	0.137687	0.000000	0.000000	0.000000	
3	0.02000	1.058035	1.152144	3.980557	0.429469	0.270639	0.165121	0.000000	0.000000	0.000000	
4	0.03000	0.991543	1.197384	4.241706	0.447733	0.270760	0.155917	0.000000	0.000000	0.000000	
5	0.04000	0.942939	1.107983	3.716907	0.438690	0.261560	0.169675	0.000000	0.000000	0.000000	
6	0.05000	0.945106	1.197384	4.065290	0.438517	0.325442	0.156188	0.000000	0.000000	0.000000	
7	0.06000	1.010368	1.062782	3.630569	0.447885	0.243433	0.169558	0.000000	0.000000	0.000000	
8	0.07000	0.965496	1.107801	3.715482	0.484274	0.307594	0.160658	0.000000	0.000000	0.000000	
9	0.08000	1.056282	1.084837	3.717981	0.447811	0.270835	0.165086	0.000000	0.000000	0.000000	
10	0.09000	0.969700	1.173855	4.503274	0.474793	0.316458	0.160649	0.000000	0.000000	0.000000	
11	0.10000	0.966832	1.175405	3.890562	0.475078	0.298331	0.165269	0.000000	0.000000	0.000000	
12	0.11000	0.990956	1.310854	3.977561	0.438629	0.316375	0.156282	0.000000	0.000000	0.000000	
13	0.12000	0.964872	1.084990	3.629598	0.438480	0.288843	0.183597	0.000000	0.000000	0.000000	
14	0.13000	0.921014	1.243804	3.713847	0.475156	0.325763	0.160886	0.000000	0.000000	0.000000	
15	0.14000	1.057573	1.084438	3.980239	0.466045	0.270981	0.155833	0.000000	0.000000	0.000000	
16	0.15000	0.943220	1.175514	3.715393	0.447672	0.316364	0.169987	0.000000	0.000000	0.000000	
17	0.16000	0.944753	1.197691	3.978883	0.420270	0.288731	0.169856	0.000000	0.000000	0.000000	
18	0.17000	0.854893	1.243848	4.065086	0.438783	0.252436	0.155914	0.000000	0.000000	0.000000	
19	0.18000	0.987588	1.017085	3.716934	0.475113	0.289246	0.165087	0.000000	0.000000	0.000000	
20	0.19000	0.945962	1.219706	4.240317	0.474736	0.316371	0.179153	0.000000	0.000000	0.000000	
21	0.20000	0.898654	1.039173	4.066583	0.438520	0.288882	0.160462	0.000000	0.000000	0.000000	
22	0.21000	0.850229	1.108529	3.363522	0.447895	0.353036	0.151717	0.000000	0.000000	0.000000	
23	0.22000	1.081289	1.151290	4.155182	0.465578	0.307219	0.183660	0.000000	0.000000	0.000000	
24	0.23000	0.923324	1.197721	4.239624	0.493339	0.298474	0.151423	0.000000	0.000000	0.000000	
25	0.24000	1.080353	1.152300	3.893136	0.429555	0.270708	0.160532	0.000000	0.000000	0.000000	
26	0.25000	0.989774	1.220501	3.889416	0.493331	0.335043	0.156266	0.000000	0.000000	0.000000	
27	0.26000	0.944469	1.152874	3.979220	0.465902	0.252511	0.178842	0.000000	0.000000	0.000000	
28	0.27000	1.057957	1.198037	3.891051	0.484429	0.289469	0.146836	0.000000	0.000000	0.000000	
29	0.28000	0.964473	1.017066	3.629948	0.429472	0.288877	0.169716	0.000000	0.000000	0.000000	
30	0.29000	0.921483	1.107415	3.978183	0.447833	0.298222	0.146775	0.000000	0.000000	0.000000	
31	0.30000	0.990412	1.152623	4.065722	0.475313	0.289395	0.137555	0.000000	0.000000	0.000000	
