NO_OF_SAMPLES	1561
FREQUENCY	100
TIME_STAMP	2019-10-11, 16:28:43	103157.88783225
FIRST_SAMPLE	632
DESCRIPTION	Force data in local (force plate) coordinates
DATA_INCLUDED	Force
FORCE_PLATE_TYPE	Amti
FORCE_PLATE_MODEL	Unknown
FORCE_PLATE_NAME	Force-plate 2
FORCE_PLATE_CORNER_POSX_POSY_X	519.708008
FORCE_PLATE_CORNER_POSX_POSY_Y	471.890015
FORCE_PLATE_CORNER_POSX_POSY_Z	0.000000
FORCE_PLATE_CORNER_NEGX_POSY_X	517.812012
FORCE_PLATE_CORNER_NEGX_POSY_Y	14.711200
FORCE_PLATE_CORNER_NEGX_POSY_Z	0.000000
FORCE_PLATE_CORNER_NEGX_NEGY_X	13.237100
FORCE_PLATE_CORNER_NEGX_NEGY_Y	18.357599
FORCE_PLATE_CORNER_NEGX_NEGY_Z	0.000000
FORCE_PLATE_CORNER_POSX_NEGY_X	16.436701
FORCE_PLATE_CORNER_POSX_NEGY_Y	475.112000
FORCE_PLATE_CORNER_POSX_NEGY_Z	0.000000
FORCE_PLATE_LENGTH	508.000000
FORCE_PLATE_WIDTH	463.550000
Sample	Time	Force_X	Force_Y	Force_Z	Moment_X	Moment_Y	Moment_Z	COP_X	COP_Y	COP_Z
632	6.31000	13.742785	71.030668	578.151062	-80.675747	-73.126389	9.549809	125.097440	-144.827097	0.000000	
633	6.32000	14.166199	69.211512	561.062212	-78.275087	-70.771490	9.455270	124.693312	-144.818517	0.000000	
634	6.33000	14.543412	66.619315	542.452834	-75.640436	-68.131073	9.241374	124.090393	-144.725759	0.000000	
635	6.34000	14.279769	63.456920	519.368372	-72.510624	-64.739079	8.927360	123.114428	-144.872056	0.000000	
636	6.35000	13.607863	59.655337	494.582153	-68.938874	-60.678163	8.471518	121.149725	-144.584343	0.000000	
637	6.36000	12.547972	55.419245	465.589631	-64.735704	-55.837875	7.983862	118.415992	-144.172783	0.000000	
638	6.37000	11.390919	51.069934	428.718626	-59.402913	-50.003445	7.458687	115.136550	-143.695421	0.000000	
639	6.38000	11.622442	45.493862	385.593716	-53.150673	-43.239657	7.003402	110.496420	-142.931660	0.000000	
640	6.39000	12.521216	39.301287	343.819453	-46.926351	-36.586777	6.730823	104.519433	-141.428450	0.000000	
641	6.40000	13.443424	33.155648	306.432012	-41.506743	-30.596065	6.422031	97.653754	-140.149563	0.000000	
642	6.41000	13.067619	26.713019	272.439302	-36.629810	-24.864493	5.850095	88.909433	-138.741863	0.000000	
643	6.42000	10.890308	20.814691	240.670732	-32.067411	-19.491260	5.057255	78.739481	-137.068302	0.000000	
644	6.43000	8.415285	15.532329	212.119249	-28.045931	-14.714319	4.196456	67.344212	-135.512002	0.000000	
645	6.44000	6.328461	11.229025	186.430927	-24.420148	-10.606834	3.509624	55.100083	-133.760455	0.000000	
646	6.45000	5.199320	7.792960	164.952081	-21.479642	-7.462098	3.032504	43.541203	-132.469050	0.000000	
647	6.46000	4.731347	5.496717	147.499704	-19.097221	-5.105972	2.696597	32.897715	-131.324101	0.000000	
648	6.47000	5.016919	3.407216	133.003053	-17.075020	-3.426995	2.469772	23.820694	-129.764350	0.000000	
649	6.48000	5.531837	1.932264	121.728911	-15.549127	-2.263094	2.343783	16.335705	-128.728329	0.000000	
650	6.49000	6.479421	0.982159	112.155282	-14.275059	-1.556944	2.308900	11.131739	-127.986455	0.000000	
651	6.50000	7.449104	0.146876	103.564995	-13.163165	-1.088650	2.251142	7.193383	-127.513042	0.000000	
652	6.51000	8.079156	-1.076775	95.870487	-12.178082	-0.840725	2.212922	4.955592	-126.931249	0.000000	
653	6.52000	9.709978	-5.343229	87.832416	-11.478095	-0.662961	1.884024	2.679579	-128.595956	0.000000	
654	6.53000	11.181590	-4.130667	81.832961	-10.579625	-0.644870	2.068317	1.964922	-127.613044	0.000000	
655	6.54000	11.514404	-2.488564	76.901029	-9.834699	-0.483183	2.140114	-0.157595	-126.944641	0.000000	
656	6.55000	11.280655	-1.167325	73.937980	-9.361591	-0.442927	2.172161	-0.564185	-126.336106	0.000000	
657	6.56000	11.047667	0.017219	71.333242	-8.906743	-0.375410	2.181273	-1.384446	-125.226334	0.000000	
658	6.57000	10.702019	1.542223	70.069710	-8.596200	-0.336959	2.195178	-1.752403	-123.919587	0.000000	
659	6.58000	10.084436	3.043506	70.596232	-8.575692	-0.264594	2.145413	-2.416530	-123.560955	0.000000	
660	6.59000	9.401078	4.452912	73.361075	-8.835821	-0.267669	2.063802	-1.925981	-123.234463	0.000000	
661	6.60000	8.104487	5.450643	77.200235	-9.305070	-0.227349	1.914848	-1.699929	-123.720709	0.000000	
662	6.61000	6.173091	5.968832	83.543332	-10.028078	-0.152570	1.592968	-1.570948	-123.257321	0.000000	
663	6.62000	4.950488	6.259934	91.952390	-11.141313	-0.162958	1.343205	-0.820203	-124.251640	0.000000	
664	6.63000	4.871148	6.164495	101.713632	-12.409373	-0.247808	1.256515	0.082578	-124.790899	0.000000	
665	6.64000	5.797731	6.297335	114.344710	-14.021295	-0.435874	1.268689	1.345275	-125.188828	0.000000	
666	6.65000	6.134050	6.041108	128.498969	-15.978304	-0.645623	1.241100	2.676797	-126.588094	0.000000	
667	6.66000	5.311672	5.326770	145.154842	-18.198132	-0.784978	1.005003	3.507510	-127.198810	0.000000	
668	6.67000	3.052102	4.883415	161.891765	-20.507736	-0.998544	0.638908	4.979576	-128.241770	0.000000	
669	6.68000	1.044630	4.599523	179.702127	-22.825800	-1.203040	0.263001	6.029544	-128.402986	0.000000	
